
RevBayes version (1.1.1)
Build from development (rapture-649-g20534c) on Sun Apr 11 23:30:45 CDT 2021

Visit the website www.RevBayes.com for more information about RevBayes.

RevBayes is free software released under the GPL license, version 3. Type 'license()' for details.

To quit RevBayes type 'quit()' or 'q()'.


> source("scripts/combined_evidence_fbd.Rev")
   Processing file "scripts/combined_evidence_fbd.Rev"
   Successfully read one character matrix from file 'data/nuclear.nex'
   Successfully read one character matrix from file 'data/morpho.nex'
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.
   NOTE: setNumStatesPartition() partitions by the maximum observed state, not the total number of observed states.

   Running MCMC simulation
   This simulation runs 2 independent replicates.
   The simulator uses 51 different moves in a random move schedule with 115 moves per iteration

Iter        |      Posterior   |     Likelihood   |          Prior   |   clock_morp..      |clock_morp..      |clock_morp..   |   clock_nucl..   |      root_time   |    elapsed   |        ETA   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0           |    -5.4751e+06   |   -5.46478e+06   |       -10321.3   |         1.6599      |     2.20463      |    0.243184   |       1.329569   |       28.52763   |   00:00:00   |   --:--:--   |
100         |   -2.67537e+06   |   -2.66494e+06   |       -10429.8   |        2.63467      |     3.01651      |    0.382981   |      0.2234237   |       27.48563   |   00:04:33   |   --:--:--   |
200         |   -2.66312e+06   |   -2.65269e+06   |         -10434   |         3.0613      |     3.57354      |    0.527756   |      0.2343576   |       22.36702   |   00:09:12   |   76:30:48   |
300         |   -2.62566e+06   |   -2.61522e+06   |       -10441.6   |        2.92067      |     4.10181      |    0.562756   |      0.2413326   |       22.62417   |   00:14:08   |   78:16:58   |
400         |   -2.61986e+06   |   -2.60946e+06   |       -10399.8   |        2.92067      |     3.63068      |    0.609918   |      0.2400162   |       16.40318   |   00:18:56   |   78:34:24   |
500         |   -2.61949e+06   |    -2.6091e+06   |       -10381.9   |        2.92067      |     4.08784      |    0.645188   |      0.2424429   |        14.8398   |   00:24:02   |   79:42:38   |
600         |    -2.6194e+06   |   -2.60904e+06   |       -10364.3   |         5.0151      |     5.76731      |    0.546744   |      0.2425574   |        20.6536   |   00:28:49   |   79:33:57   |
700         |   -2.61936e+06   |   -2.60899e+06   |       -10371.6   |        6.16199      |     6.50548      |    0.726025   |      0.2425839   |         13.765   |   00:33:20   |   78:48:34   |
800         |   -2.61936e+06   |   -2.60897e+06   |       -10385.7   |        7.45885      |     7.30915      |     0.67946   |      0.2417195   |       10.85726   |   00:38:04   |   78:40:16   |
900         |   -2.61938e+06   |   -2.60897e+06   |       -10410.6   |        6.99352      |     7.01368      |    0.926097   |      0.2419719   |       18.16252   |   00:42:35   |   78:08:53   |
1000        |   -2.61936e+06   |   -2.60897e+06   |       -10396.8   |        8.33352      |     9.63147      |    0.867119   |      0.2409115   |       18.02485   |   00:47:35   |   78:30:45   |
1100        |   -2.61357e+06   |   -2.60318e+06   |         -10388   |        8.11143      |     9.02623      |     1.13534   |      0.2475324   |       29.51377   |   00:51:51   |   77:41:47   |
1200        |   -2.61328e+06   |   -2.60292e+06   |       -10368.2   |        8.79646      |     12.3164      |    0.819497   |      0.2473863   |       12.90708   |   00:56:07   |   77:00:16   |
1300        |   -2.61324e+06   |   -2.60288e+06   |       -10365.1   |        11.0267      |     9.95072      |    0.786957   |      0.2493202   |       12.51731   |   01:00:41   |   76:47:15   |
1400        |   -2.61321e+06   |   -2.60286e+06   |       -10355.2   |        11.8432      |     9.72976      |    0.855863   |      0.2493158   |       22.45993   |   01:04:58   |   76:15:30   |
1500        |   -2.61323e+06   |   -2.60285e+06   |       -10377.4   |        10.0002      |     9.40335      |     1.00992   |      0.2487828   |       28.09466   |   01:09:21   |   75:53:59   |
1600        |   -2.61323e+06   |   -2.60286e+06   |       -10373.1   |        10.4601      |     11.6871      |    0.823051   |      0.2493601   |       23.41928   |   01:13:35   |   75:25:22   |
1700        |    -2.6132e+06   |   -2.60285e+06   |       -10350.8   |        13.3195      |     11.3989      |     0.91289   |      0.2488693   |       18.63361   |   01:17:43   |   74:53:51   |
1800        |   -2.61318e+06   |   -2.60285e+06   |       -10335.1   |        14.6308      |      14.776      |    0.775648   |       0.249869   |       25.37173   |   01:21:55   |   74:29:00   |
1900        |   -2.61318e+06   |   -2.60284e+06   |       -10342.5   |        13.1055      |     11.1183      |    0.917653   |      0.2490591   |       11.99046   |   01:26:48   |   74:41:37   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   clock_morp..      |clock_morp..      |clock_morp..   |   clock_nucl..   |      root_time   |    elapsed   |        ETA   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2000        |   -2.61316e+06   |   -2.60284e+06   |       -10315.9   |        12.2045      |     13.0059      |    0.880412   |      0.2485684   |       16.27525   |   01:31:24   |   74:38:36   |
2100        |   -2.61248e+06   |   -2.60216e+06   |         -10328   |        9.21547      |     7.80562      |    0.945173   |      0.2480425   |       23.78684   |   01:36:00   |   74:35:25   |
2200        |   -2.61243e+06   |   -2.60212e+06   |       -10310.7   |        9.61737      |     8.94206      |     1.03289   |      0.2481621   |       16.92047   |   01:40:12   |   74:14:20   |
2300        |   -2.61242e+06   |   -2.60211e+06   |       -10305.1   |        9.48402      |     10.2688      |    0.986184   |       0.246975   |       8.017282   |   01:44:17   |   73:49:46   |
2400        |   -2.61241e+06   |   -2.60211e+06   |       -10295.4   |         11.089      |     9.97252      |    0.938891   |      0.2470285   |       13.31439   |   01:48:24   |   73:28:16   |
2500        |   -2.61243e+06   |   -2.60211e+06   |       -10312.7   |        9.78314      |     11.8171      |    0.967076   |      0.2473542   |       9.668256   |   01:52:52   |   73:21:48   |
2600        |   -2.61243e+06   |   -2.60212e+06   |       -10312.5   |        9.76839      |     11.7134      |     1.03989   |      0.2482372   |       28.40482   |   01:56:57   |   73:01:07   |
2700        |   -2.61242e+06   |   -2.60211e+06   |       -10312.9   |         10.591      |     13.2829      |     1.18206   |      0.2474338   |       28.68028   |   02:01:21   |   72:53:05   |
2800        |   -2.61244e+06   |   -2.60212e+06   |       -10324.6   |        10.9062      |     10.3943      |    0.992934   |      0.2471191   |       22.30348   |   02:05:37   |   72:40:41   |
2900        |   -2.61244e+06   |   -2.60211e+06   |       -10328.1   |        9.79074      |     9.95302      |     1.01686   |      0.2483202   |       18.15115   |   02:09:24   |   72:12:40   |
3000        |   -2.61244e+06   |   -2.60211e+06   |       -10324.7   |        10.1962      |     13.0782      |    0.834075   |      0.2479973   |       29.54776   |   02:14:00   |   72:12:40   |
3100        |   -2.61245e+06   |   -2.60211e+06   |       -10338.5   |        10.1962      |     13.0782      |    0.937814   |      0.2470978   |       13.26781   |   02:18:29   |   72:08:43   |
3200        |   -2.61244e+06   |   -2.60211e+06   |       -10323.1   |        11.3234      |     11.2764      |    0.828306   |       0.247821   |       29.50345   |   02:23:11   |   72:11:17   |
3300        |   -2.61244e+06   |   -2.60211e+06   |       -10329.6   |        14.3074      |     12.3334      |     0.91922   |      0.2483556   |       25.77811   |   02:27:46   |   72:10:00   |
3400        |   -2.61246e+06   |   -2.60211e+06   |       -10355.7   |        14.2905      |      11.558      |    0.990067   |      0.2480482   |       24.60084   |   02:32:15   |   72:05:41   |
3500        |   -2.61247e+06   |   -2.60211e+06   |       -10358.4   |        14.6553      |     11.9912      |     1.05445   |      0.2475572   |       19.28908   |   02:37:00   |   72:08:42   |
3600        |   -2.61244e+06   |   -2.60211e+06   |       -10337.8   |        13.5659      |     13.1133      |     0.97015   |       0.246978   |       27.56982   |   02:41:36   |   72:07:17   |
3700        |   -2.61242e+06   |   -2.60211e+06   |       -10310.8   |        12.6721      |     11.4476      |     1.25707   |       0.246939   |       25.00225   |   02:45:42   |   71:52:40   |
3800        |   -2.61241e+06   |   -2.60211e+06   |       -10302.2   |        12.8055      |     12.9801      |     1.20675   |      0.2469815   |       24.77343   |   02:49:57   |   71:42:25   |
3900        |   -2.61243e+06   |   -2.60211e+06   |       -10320.2   |        14.6481      |     11.9065      |     1.06613   |      0.2479034   |       22.50954   |   02:53:57   |   71:26:18   |


Iter        |      Posterior   |     Likelihood   |          Prior   |   clock_morp..      |clock_morp..      |clock_morp..   |   clock_nucl..   |      root_time   |    elapsed   |        ETA   |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
4000        |   -2.61243e+06   |   -2.60211e+06   |       -10314.2   |        14.6701      |     12.4839      |     1.26481   |      0.2478286   |       29.27179   |   02:58:30   |   71:24:00   |
4100        |   -2.61243e+06   |   -2.60211e+06   |       -10321.6   |        12.8333      |     13.6158      |     1.13738   |        0.24813   |       21.11684   |   03:02:55   |   71:18:27   |
4200        |   -2.61242e+06   |   -2.60211e+06   |       -10305.4   |        14.2851      |     12.9977      |    0.964167   |      0.2476657   |       20.93259   |   03:07:10   |   71:09:10   |
4300        |   -2.61239e+06   |   -2.60211e+06   |       -10284.7   |        12.1772      |     14.5607      |    0.964167   |      0.2485871   |       20.35751   |   03:11:40   |   71:05:41   |
4400        |    -2.6124e+06   |   -2.60211e+06   |       -10289.7   |        13.0603      |     12.3285      |    0.914424   |      0.2477845   |       11.47053   |   03:15:46   |   70:53:28   |
4500        |    -2.6124e+06   |   -2.60211e+06   |       -10294.6   |        12.1443      |     15.6152      |     1.13013   |      0.2472559   |       17.74615   |   03:19:57   |   70:43:23   |
4600        |   -2.61241e+06   |   -2.60211e+06   |       -10301.8   |        13.4596      |     15.8851      |     1.17867   |      0.2475467   |       21.86616   |   03:24:15   |   70:35:58   |
4700        |   -2.61242e+06   |   -2.60211e+06   |       -10303.2   |        13.1344      |     12.5562      |     1.39307   |      0.2478785   |       20.54224   |   03:28:17   |   70:23:16   |
4800        |    -2.6124e+06   |   -2.60212e+06   |       -10282.5   |        12.7342      |     9.99517      |     1.12373   |      0.2478926   |       12.56305   |   03:32:41   |   70:18:13   |
4900        |    -2.6124e+06   |   -2.60211e+06   |         -10285   |         10.207      |     13.0463      |     1.15653   |      0.2490402   |       15.44549   |   03:36:52   |   70:08:59   |
5000        |    -2.6124e+06   |   -2.60211e+06   |       -10292.4   |        13.6042      |     11.2727      |     1.11389   |       0.248114   |       17.58192   |   03:41:24   |   70:06:36   |
5100        |   -2.61239e+06   |   -2.60211e+06   |       -10282.5   |        11.5816      |     10.2612      |       1.175   |      0.2467762   |       21.03973   |   03:45:13   |   69:50:47   |
5200        |   -2.61241e+06   |   -2.60211e+06   |       -10296.7   |        12.6535      |     12.2677      |     1.25004   |      0.2470559   |       18.47884   |   03:49:20   |   69:40:55   |
5300        |    -2.6124e+06   |   -2.60212e+06   |         -10285   |        13.9316      |     13.6566      |     1.31187   |      0.2468256   |       13.47488   |   03:53:49   |   69:37:49   |
5400        |   -2.61242e+06   |   -2.60211e+06   |       -10306.9   |        13.9316      |     13.6566      |     1.45668   |      0.2473573   |       17.76296   |   03:58:11   |   69:32:37   |
5500        |   -2.61243e+06   |   -2.60211e+06   |       -10317.4   |        14.9308      |     11.8521      |     1.42072   |      0.2466677   |       25.80592   |   04:02:34   |   69:27:44   |
